date,n_articles,avg_negative,avg_neutral,avg_positive,close,next_close,next_day_pct,direction
2023-09-25,21,0.2062,0.5623,0.2315,311.53,306.23,-1.7006,DOWN
2023-09-26,17,0.1855,0.5829,0.2317,306.23,306.87,0.2082,UP
2023-09-27,18,0.173,0.5596,0.2674,306.87,307.7,0.2718,UP
2023-09-28,12,0.099,0.5829,0.3181,307.7,309.77,0.6727,UP
2023-09-29,14,0.1226,0.5746,0.3028,309.77,315.71,1.9161,UP
2023-10-02,13,0.0403,0.4606,0.4991,315.71,307.46,-2.6134,DOWN
2023-10-03,21,0.1463,0.59,0.2637,307.46,312.92,1.7773,UP
2023-10-04,13,0.1414,0.5649,0.2937,312.92,313.32,0.1254,UP
2023-10-05,14,0.2649,0.4805,0.2546,313.32,321.07,2.4737,UP
2023-10-06,11,0.2992,0.4656,0.2352,321.07,323.58,0.7823,UP
2023-10-09,10,0.3602,0.3854,0.2544,323.58,322.17,-0.4336,DOWN
2023-10-10,16,0.0862,0.5405,0.3733,322.17,326.13,1.2272,UP
2023-10-11,18,0.0979,0.5425,0.3595,326.13,324.89,-0.3791,DOWN
2023-10-12,15,0.2659,0.5671,0.1671,324.89,321.53,-1.0358,DOWN
2023-10-13,23,0.2393,0.5383,0.2225,321.53,326.34,1.4982,UP
2023-10-16,18,0.0279,0.7164,0.2557,326.34,325.78,-0.1744,DOWN
2023-10-17,19,0.1458,0.6028,0.2514,325.78,323.86,-0.5872,DOWN
2023-10-18,18,0.212,0.5224,0.2656,323.86,325.05,0.3665,UP
2023-10-19,14,0.1375,0.7315,0.131,325.05,320.49,-1.4035,DOWN
2023-10-20,17,0.2072,0.5195,0.2733,320.49,323.09,0.8112,UP
2023-10-23,35,0.1454,0.5694,0.2853,323.09,324.27,0.3674,UP
2023-10-24,25,0.1487,0.5543,0.297,324.27,334.22,3.0678,UP
2023-10-25,32,0.3166,0.419,0.2644,334.22,321.68,-3.7514,DOWN
2023-10-26,22,0.3625,0.3964,0.2411,321.68,323.57,0.5856,UP
2023-10-27,26,0.1839,0.659,0.1571,323.57,330.93,2.274,UP
2023-10-30,25,0.2082,0.487,0.3048,330.93,331.71,0.2372,UP
2023-10-31,14,0.0957,0.727,0.1773,331.71,339.52,2.3543,UP
2023-11-01,10,0.1973,0.4984,0.3043,339.52,341.73,0.6502,UP
2023-11-02,18,0.0292,0.7961,0.1747,341.73,346.12,1.2862,UP
2023-11-03,10,0.1137,0.7226,0.1637,346.12,349.78,1.0573,UP
2023-11-06,15,0.0823,0.6012,0.3165,349.78,353.71,1.1219,UP
2023-11-07,10,0.1098,0.6844,0.2058,353.71,356.33,0.7406,UP
2023-11-08,14,0.0282,0.8037,0.1681,356.33,353.86,-0.6911,DOWN
2023-11-09,15,0.022,0.6793,0.2987,353.86,362.67,2.4897,UP
2023-11-10,18,0.1214,0.5247,0.3539,362.67,359.74,-0.8088,DOWN
2023-11-13,15,0.1003,0.5575,0.3422,359.74,363.26,0.9791,UP
2023-11-14,21,0.1577,0.6705,0.1718,363.26,363.41,0.0406,UP
2023-11-15,19,0.1724,0.6289,0.1987,363.41,369.8,1.7583,UP
2023-11-16,16,0.1719,0.4615,0.3667,369.8,363.59,-1.6801,DOWN
2023-11-17,16,0.2676,0.6233,0.1091,363.59,371.05,2.0522,UP
