date,n_articles,avg_negative,avg_neutral,avg_positive,close,next_close,next_day_pct,direction
2022-01-12,21,0.0897,0.668,0.2424,171.6,168.34,-1.9028,DOWN
2022-01-13,25,0.0751,0.6181,0.3068,168.34,169.2,0.5111,UP
2022-01-14,26,0.2258,0.5013,0.2729,169.2,166.0,-1.8894,DOWN
2022-01-18,12,0.0459,0.7172,0.2369,166.0,162.51,-2.1025,DOWN
2022-01-19,21,0.1685,0.5325,0.299,162.51,160.83,-1.0347,DOWN
2022-01-20,24,0.1871,0.5878,0.2252,160.83,158.78,-1.2765,DOWN
2022-01-21,25,0.0743,0.7089,0.2168,158.78,158.01,-0.4864,DOWN
2022-01-24,12,0.1895,0.6476,0.1629,158.01,156.21,-1.1384,DOWN
2022-01-25,34,0.2815,0.5749,0.1437,156.21,156.12,-0.0564,DOWN
2022-01-26,21,0.1588,0.7209,0.1203,156.12,155.66,-0.2943,DOWN
2022-01-27,21,0.1975,0.596,0.2065,155.66,166.52,6.9778,UP
2022-01-28,30,0.2967,0.4371,0.2662,166.52,170.87,2.6126,UP
2022-01-31,12,0.1325,0.7454,0.1221,170.87,170.71,-0.0972,DOWN
2022-02-01,28,0.266,0.5447,0.1893,170.71,171.91,0.7044,UP
2022-02-02,25,0.2339,0.5446,0.2214,171.91,169.03,-1.672,DOWN
2022-02-03,26,0.1749,0.5503,0.2748,169.03,168.75,-0.1679,DOWN
2022-02-04,38,0.3484,0.4276,0.224,168.75,168.04,-0.4235,DOWN
2022-02-07,7,0.1769,0.6466,0.1765,168.04,171.14,1.8467,UP
2022-02-08,21,0.3118,0.5082,0.1799,171.14,172.56,0.8294,UP
2022-02-09,26,0.23,0.5816,0.1885,172.56,168.49,-2.3599,DOWN
2022-02-10,33,0.1488,0.6149,0.2363,168.49,165.08,-2.0219,DOWN
2022-02-11,19,0.1458,0.553,0.3012,165.08,165.31,0.1423,UP
2022-02-14,4,0.0175,0.6712,0.3113,165.31,169.14,2.3152,UP
2022-02-15,17,0.0676,0.7756,0.1568,169.14,168.91,-0.1389,DOWN
2022-02-16,25,0.1016,0.6289,0.2696,168.91,165.31,-2.1269,DOWN
2022-02-17,22,0.1503,0.5911,0.2586,165.31,163.77,-0.9356,DOWN
2022-02-18,26,0.1137,0.6417,0.2446,163.77,160.85,-1.7812,DOWN
2022-02-22,12,0.2413,0.6559,0.1029,160.85,156.69,-2.5864,DOWN
2022-02-23,24,0.2596,0.685,0.0554,156.69,159.3,1.668,UP
2022-02-24,17,0.2069,0.5133,0.2798,159.3,161.37,1.2965,UP
2022-02-25,18,0.3061,0.5431,0.1509,161.37,161.63,0.1638,UP
2022-02-28,5,0.23,0.6765,0.0935,161.63,159.75,-1.1628,DOWN
2022-03-01,16,0.1935,0.6522,0.1543,159.75,163.04,2.0588,UP
2022-03-02,22,0.1035,0.5586,0.3378,163.04,162.72,-0.1981,DOWN
2022-03-03,32,0.1775,0.5491,0.2733,162.72,159.72,-1.8408,DOWN
2022-03-04,26,0.2717,0.497,0.2313,159.72,155.94,-2.3718,DOWN
2022-03-07,3,0.3253,0.4726,0.2021,155.94,154.12,-1.1676,DOWN
2022-03-08,24,0.2833,0.5817,0.135,154.12,159.51,3.4997,UP
2022-03-09,33,0.1392,0.586,0.2748,159.51,155.17,-2.7186,DOWN
2022-03-10,28,0.1809,0.4643,0.3548,155.17,151.46,-2.3909,DOWN
2022-03-11,24,0.0843,0.6754,0.2403,151.46,147.44,-2.6562,DOWN
2022-03-14,6,0.0232,0.9236,0.0532,147.44,151.81,2.9677,UP
2022-03-15,33,0.2349,0.5403,0.2248,151.81,156.22,2.9016,UP
2022-03-16,24,0.1503,0.6525,0.1972,156.22,157.23,0.6454,UP
2022-03-17,22,0.1798,0.6681,0.1521,157.23,160.52,2.0919,UP
2022-03-18,26,0.14,0.6815,0.1786,160.52,161.89,0.8537,UP
2022-03-21,7,0.0439,0.8723,0.0839,161.89,165.25,2.0801,UP
2022-03-22,19,0.1178,0.7336,0.1486,165.25,166.62,0.8233,UP
2022-03-23,20,0.0913,0.5886,0.3201,166.62,170.39,2.2678,UP
2022-03-24,21,0.0364,0.7334,0.2302,170.39,171.03,0.3734,UP
2022-03-25,21,0.0611,0.7376,0.2013,171.03,171.89,0.5037,UP
2022-03-28,5,0.1747,0.6828,0.1424,171.89,175.18,1.9135,UP
2022-03-29,27,0.1399,0.5925,0.2677,175.18,174.02,-0.665,DOWN
2022-03-30,27,0.1449,0.6555,0.1996,174.02,170.92,-1.7776,DOWN
2022-03-31,40,0.2062,0.5717,0.2221,170.92,170.63,-0.1719,DOWN
2022-04-01,29,0.1931,0.5781,0.2289,170.63,174.67,2.3694,UP
2022-04-04,6,0.1774,0.7282,0.0944,174.67,171.36,-1.8942,DOWN
2022-04-05,23,0.1477,0.7074,0.1449,171.36,168.2,-1.8451,DOWN
2022-04-06,25,0.0757,0.7814,0.1429,168.2,168.5,0.1804,UP
2022-04-07,15,0.1456,0.5949,0.2595,168.5,166.5,-1.1909,DOWN
2022-04-08,23,0.1343,0.6864,0.1794,166.5,162.25,-2.5516,DOWN
2022-04-11,3,0.0192,0.7291,0.2516,162.25,164.12,1.1523,UP
2022-04-12,18,0.0694,0.667,0.2636,164.12,166.8,1.6343,UP
2022-04-13,27,0.0985,0.7482,0.1533,166.8,161.8,-2.9988,DOWN
2022-04-14,26,0.1564,0.6425,0.2011,161.8,161.58,-0.1331,DOWN
2022-04-18,2,0.0535,0.9001,0.0464,161.58,163.86,1.4115,UP
2022-04-19,27,0.2206,0.6226,0.1568,163.86,163.7,-0.1015,DOWN
2022-04-20,25,0.1617,0.6621,0.1761,163.7,162.91,-0.4844,DOWN
2022-04-21,25,0.2041,0.5667,0.2292,162.91,158.37,-2.7821,DOWN
2022-04-22,32,0.2308,0.5661,0.2031,158.37,159.44,0.6737,UP
2022-04-25,9,0.1249,0.8126,0.0624,159.44,153.49,-3.7328,DOWN
2022-04-26,32,0.3037,0.581,0.1153,153.49,153.26,-0.1467,DOWN
2022-04-27,24,0.2704,0.5612,0.1685,153.26,160.18,4.5156,UP
2022-04-28,26,0.2129,0.626,0.1611,160.18,154.32,-3.6605,DOWN
2022-04-29,37,0.1822,0.5514,0.2664,154.32,154.62,0.1966,UP
2022-05-02,5,0.1807,0.767,0.0523,154.62,156.11,0.9623,UP
2022-05-03,27,0.2574,0.6275,0.1151,156.11,162.51,4.1008,UP
2022-05-04,14,0.1731,0.6113,0.2156,162.51,153.46,-5.5716,DOWN
2022-05-05,15,0.1676,0.6567,0.1757,153.46,154.18,0.4727,UP
2022-05-06,26,0.3121,0.6113,0.0766,154.18,149.07,-3.3189,DOWN
2022-05-09,5,0.2939,0.5592,0.1468,149.07,151.47,1.6112,UP
